CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
WEAPONS,04/01/2020 04:43:00 PM,20-017263,CARRY CONCEALED WEAPON- UNLAWFUL POSSESS,24X,35TH AV & DAVIS ST,Oakland,CA,"35TH AV & DAVIS ST
Oakland, CA
(37.785847, -122.214021)"
VANDALISM,03/28/2020 10:45:00 AM,20-907779,VANDALISM,16Y,1300 HAMPEL ST,Oakland,CA,"1300 HAMPEL ST
Oakland, CA
(37.806297, -122.224572)"
STOLEN VEHICLE,04/06/2020 05:00:00 PM,20-020061,VEHICLE THEFT - AUTO,21Y,3000 CAPP ST,Oakland,CA,"3000 CAPP ST
Oakland, CA
(37.793715, -122.216306)"
,04/08/2020 06:00:00 PM,20-018465,VEHICLE THEFT - AUTO,29X,6800 SUNNYMERE AV,Oakland,CA,"6800 SUNNYMERE AV
Oakland, CA
(37.776189, -122.167226)"
VANDALISM,03/27/2020 06:00:00 PM,20-907786,VANDALISM,10X,1000 60TH ST,Oakland,CA,"1000 60TH ST
Oakland, CA
(37.843628, -122.279444)"
MISCELLANEOUS TRAFFIC CRIME,03/19/2020 05:45:00 PM,20-015286,FEL-MINOR POSS CONCEALED FIREARM,99X,1900 DAVIS ST (COSTCO),Oakland,CA,"1900 DAVIS ST (COSTCO)
Oakland, CA"
,03/08/2020 11:00:00 AM,20-013242,BURGLARY-FORCIBLE ENTRY,07X,2200 22ND ST,Oakland,CA,"2200 22ND ST
Oakland, CA"
,05/01/2020 04:30:00 AM,20-909649,BURGLARY-FORCIBLE ENTRY,20X,300 29TH AVE,Oakland,CA,"300 29TH AVE
Oakland, CA
(37.772057, -122.236204)"
STOLEN VEHICLE,03/03/2020 08:00:00 AM,20-012213,VEHICLE THEFT - AUTO,19X,1100 E 8TH ST,Oakland,CA,"1100 E 8TH ST
Oakland, CA
(37.789687, -122.250648)"
,04/30/2020 01:27:00 PM,20-021777,THEFT,23X,3500 INTERNATIONAL BLVD,Oakland,CA,"3500 INTERNATIONAL BLVD
Oakland, CA
(37.776166, -122.222719)"
VANDALISM,04/15/2020 10:35:00 AM,20-908674,VANDALISM,14X,200 VERNON ST,Oakland,CA,"200 VERNON ST
Oakland, CA
(37.813509, -122.258949)"
PETTY THEFT,04/14/2020 11:11:00 AM,20-908570,THEFT,77X,JACKSON ST,Oakland,CA,"JACKSON ST
Oakland, CA"
GRAND THEFT,04/15/2020 07:30:00 AM,20-908666,THEFT,13Z,6300 WESTOVER DR,Oakland,CA,"6300 WESTOVER DR
Oakland, CA
(37.830373, -122.196334)"
BURG - AUTO,03/07/2020 08:40:00 PM,20-906843,BURGLARY-AUTO,04X,WEBSTER ST & 22ND ST,Oakland,CA,"WEBSTER ST & 22ND ST
Oakland, CA
(37.810688, -122.265614)"
DOMESTIC VIOLENCE,02/25/2020 12:30:00 AM,20-010782,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,33X,1300 81ST AV,Oakland,CA,"1300 81ST AV
Oakland, CA
(37.754578, -122.182975)"
DOMESTIC VIOLENCE,02/27/2020 06:21:00 AM,20-011217,VANDALISM (AMENDED),26Y,1300 65TH AV,Oakland,CA,"1300 65TH AV
Oakland, CA
(37.761958, -122.195142)"
MISDEMEANOR ASSAULT,02/08/2020 09:18:00 AM,20-010679,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,25X,4000 MACARTHUR BLVD,Oakland,CA,"4000 MACARTHUR BLVD
Oakland, CA
(37.790482, -122.19766)"
GRAND THEFT,02/25/2020 01:04:00 PM,20-010797,GRAND THEFT:MONEY/LABOR/PROPERTY  OVER $400,14Y,500 VERNON ST,Oakland,CA,"500 VERNON ST
Oakland, CA
(37.817892, -122.250695)"
BURG - AUTO,04/02/2020 03:10:00 AM,20-908020,BURGLARY-AUTO,77X,GRAND AVE,Oakland,CA,"GRAND AVE
Oakland, CA"
GRAND THEFT,03/25/2020 07:55:00 PM,20-907787,GRAND THEFT,04X,1800 ALICE ST,Oakland,CA,"1800 ALICE ST
Oakland, CA
(37.805619, -122.264454)"
VANDALISM,04/01/2020 07:00:00 PM,20-017283,VANDALISM-$400+,20X,3000 E 9TH ST,Oakland,CA,"3000 E 9TH ST
Oakland, CA
(37.774568, -122.231174)"
BURG - RESIDENTIAL,03/27/2020 11:20:00 PM,20-907791,BURGLARY-FORCIBLE ENTRY,24Y,2800 HUMBOLDT AV,Oakland,CA,"2800 HUMBOLDT AV
Oakland, CA
(37.790983, -122.208577)"
DOMESTIC VIOLENCE,03/14/2020 11:44:00 AM,20-014416,VIOLATION CUSTODY DECREE,26Y,6600 LION WY,Oakland,CA,"6600 LION WY
Oakland, CA
(37.758667, -122.198418)"
MISDEMEANOR ASSAULT,03/07/2020 01:08:00 AM,20-012966,VANDALISM (AMENDED),32X,1200 99TH AV,Oakland,CA,"1200 99TH AV
Oakland, CA
(37.74234, -122.171256)"
STOLEN VEHICLE,01/06/2020 12:00:00 PM,20-012854,VEHICLE THEFT - AUTO,21X,2700 E 21ST ST,Oakland,CA,"2700 E 21ST ST
Oakland, CA
(37.78567, -122.226594)"
,03/06/2020 01:58:00 PM,20-012882,THEFT,22X,3300 FRUITVALE AV,Oakland,CA,"3300 FRUITVALE AV
Oakland, CA
(37.798748, -122.216742)"
STOLEN VEHICLE,03/04/2020 09:00:00 AM,20-012653,VEHICLE THEFT - AUTO,32Y,10400 VOLTAIRE AV,Oakland,CA,"10400 VOLTAIRE AV
Oakland, CA
(37.743436, -122.155323)"
PETTY THEFT,03/05/2020 03:30:00 PM,20-012994,THEFT,24X,2300 RANSOM AV,Oakland,CA,"2300 RANSOM AV
Oakland, CA
(37.783955, -122.211185)"
BURG - COMMERCIAL,03/07/2020 03:45:00 AM,20-012974,BURGLARY-FORCIBLE ENTRY,21Y,2600 FRUITVALE AV,Oakland,CA,"2600 FRUITVALE AV
Oakland, CA
(37.789313, -122.220535)"
THREATS,03/07/2020 09:55:00 PM,20-013131,THREAT CRIME:INT:TERRORIZE,24X,1900 36TH AV,Oakland,CA,"1900 36TH AV
Oakland, CA
(37.78083, -122.218667)"
DOMESTIC VIOLENCE,03/02/2020 05:00:00 PM,20-012290,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,31Y,400 HALE AV,Oakland,CA,"400 HALE AV
Oakland, CA
(37.732213, -122.181307)"
FELONY ASSAULT,03/06/2020 11:22:00 PM,20-012947,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,02Y,1300 CAMPBELL ST,Oakland,CA,"1300 CAMPBELL ST
Oakland, CA
(37.81135, -122.295754)"
VANDALISM,03/06/2020 10:20:00 PM,20-906790,VANDALISM,04X,1600 WEBSTER ST,Oakland,CA,"1600 WEBSTER ST
Oakland, CA
(37.805045, -122.26775)"
MISDEMEANOR ASSAULT,03/06/2020 10:46:00 PM,20-012945,BATTERY,08X,2900 BROADWAY,Oakland,CA,"2900 BROADWAY
Oakland, CA
(37.817422, -122.26293)"
STOLEN VEHICLE,03/05/2020 04:00:00 PM,20-012804,VEHICLE THEFT - AUTO,05Y,1700 14TH ST,Oakland,CA,"1700 14TH ST
Oakland, CA
(37.812656, -122.296523)"
,03/18/2020 08:34:00 AM,20-015037,DAMAGE/DESTROY ANY WIRELESS COMMUNICATION DEVICE,35X,2300 85TH AV,Oakland,CA,"2300 85TH AV
Oakland, CA
(37.758573, -122.166796)"
FELONY ASSAULT,04/19/2020 02:05:00 AM,20-019929,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,32X,9900 B ST,Oakland,CA,"9900 B ST
Oakland, CA
(37.741892, -122.173221)"
BURG - AUTO,01/27/2020 05:46:00 PM,20-906772,BURGLARY-AUTO,77X,DALE PLACE,Oakland,CA,"DALE PLACE
Oakland, CA"
BURG - AUTO,03/07/2020 01:10:00 PM,20-906785,BURGLARY-AUTO,23X,3600 E 12TH ST,Oakland,CA,"3600 E 12TH ST
Oakland, CA
(37.775111, -122.222454)"
BURG - AUTO,05/03/2020 04:00:00 PM,20-909742,BURGLARY-AUTO,22Y,JOAQUIN MILLER RD & SKYLINE BLVD,Oakland,CA,"JOAQUIN MILLER RD & SKYLINE BLVD
Oakland, CA
(37.805027, -122.179167)"
STOLEN VEHICLE,03/16/2020 11:41:00 AM,20-014195,VEHICLE THEFT - AUTO,26X,5000 COLISEUM WY,Oakland,CA,"5000 COLISEUM WY
Oakland, CA
(37.764251, -122.2152)"
MISDEMEANOR ASSAULT,03/07/2020 09:44:00 AM,20-013021,DISTURB THE PEACE,26Y,1000 81ST AV,Oakland,CA,"1000 81ST AV
Oakland, CA
(37.752946, -122.185705)"
,05/14/2020 08:45:00 AM,20-024027,VANDALISM,35X,2300 84TH AV,Oakland,CA,"2300 84TH AV
Oakland, CA
(37.759261, -122.167514)"
,04/11/2020 04:25:00 PM,20-018741,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",03X,300 7TH ST,Oakland,CA,"300 7TH ST
Oakland, CA
(37.798102, -122.270623)"
BURG - AUTO,04/02/2020 04:59:00 AM,20-907973,BURGLARY-AUTO,16Y,1200 BATES RD,Oakland,CA,"1200 BATES RD
Oakland, CA
(37.806198, -122.230459)"
OTHER SEX OFFENSES,04/29/2020 01:35:00 PM,20-021638,DUMP WASTE ON PUBLIC/PRIVATE ROAD/PROPERTY,22Y,3200 KANSAS ST,Oakland,CA,"3200 KANSAS ST
Oakland, CA
(37.796572, -122.201431)"
,04/29/2020 07:00:00 PM,20-021771,VEHICLE THEFT - AUTO,09X,3800 BLOCK OF PIEDMONT AV,Oakland,CA,"3800 BLOCK OF PIEDMONT AV
Oakland, CA
(37.823931, -122.255664)"
THREATS,04/17/2020 08:48:00 AM,20-019611,THREAT CRIME:INT:TERRORIZE,05X,1700 MYRTLE ST,Oakland,CA,"1700 MYRTLE ST
Oakland, CA
(37.81083, -122.28111)"
STOLEN VEHICLE,02/25/2020 10:00:00 AM,20-011051,VEHICLE THEFT - AUTO,04X,2000 BROADWAY,Oakland,CA,"2000 BROADWAY
Oakland, CA
(37.80946, -122.267903)"
PETTY THEFT,02/24/2020 12:48:00 PM,20-010708,SHOPLIFTING-COMMERCIAL ESTABLISHMENT WITH INTENT WHERE VALUE DOES NOT EXCEED $950,29X,5800 BANCROFT AV,Oakland,CA,"5800 BANCROFT AV
Oakland, CA
(37.771009, -122.192459)"
VANDALISM,05/13/2020 06:00:00 AM,20-023804,VANDALISM:DAMAGE PROPERTY,28X,3100 HIGH ST,Oakland,CA,"3100 HIGH ST
Oakland, CA
(37.784691, -122.199955)"
VANDALISM,04/25/2020 11:30:00 PM,20-909334,VANDALISM,08X,2600 TELEGRAPH AV,Oakland,CA,"2600 TELEGRAPH AV
Oakland, CA
(37.815741, -122.268022)"
MISCELLANEOUS TRAFFIC CRIME,03/20/2020 08:08:00 PM,20-015449,VIOLATION PAROLE:FELONY,02X,1300 10TH ST,Oakland,CA,"1300 10TH ST
Oakland, CA
(37.807333, -122.290253)"
MISDEMEANOR ASSAULT,03/07/2020 02:45:00 AM,20-012968,BATTERY,03Y,400 9TH ST,Oakland,CA,"400 9TH ST
Oakland, CA
(37.800422, -122.272102)"
VANDALISM,03/08/2020 02:20:00 PM,20-013209,MALICIOUSLY DESTROY OTHER'S PROPERTY,18Y,2200 E 23RD ST,Oakland,CA,"2200 E 23RD ST
Oakland, CA
(37.791187, -122.231734)"
FELONY ASSAULT,03/08/2020 09:24:00 AM,20-013177,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,27Y,1400 51ST AV,Oakland,CA,"1400 51ST AV
Oakland, CA
(37.769231, -122.207769)"
,02/17/2020 09:00:00 PM,20-012186,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,30Y,7700 BANCROFT AV,Oakland,CA,"7700 BANCROFT AV
Oakland, CA
(37.763795, -122.17415)"
BURG - RESIDENTIAL,03/07/2020 08:11:00 AM,20-012990,BURGLARY-NO FORCE,17X,1900 9TH AV,Oakland,CA,"1900 9TH AV
Oakland, CA
(37.796245, -122.245772)"
THREATS,04/29/2020 03:50:00 PM,20-021636,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,34X,1700 94TH AV,Oakland,CA,"1700 94TH AV
Oakland, CA
(37.748774, -122.169124)"
FELONY ASSAULT,03/07/2020 03:39:00 PM,20-013075,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,32X,10900 INTERNATIONAL BLVD,Oakland,CA,"10900 INTERNATIONAL BLVD
Oakland, CA
(37.73672, -122.164746)"
,03/29/2020 07:44:00 AM,20-016673,ASSAULT WITH FIREARM ON PERSON,26Y,800 BLK 71ST AVE,Oakland,CA,"800 BLK 71ST AVE
Oakland, CA
(37.754147, -122.19791)"
THREATS,03/29/2020 12:30:00 PM,20-016668,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,02X,900 POPLAR CT,Oakland,CA,"900 POPLAR CT
Oakland, CA
(37.806537, -122.290987)"
STOLEN AND RECOVERED VEHICLE,03/28/2020 03:30:00 PM,20-016577,VEHICLE THEFT - AUTO,02Y,700 HENRY ST,Oakland,CA,"700 HENRY ST
Oakland, CA
(37.805953, -122.296975)"
STOLEN VEHICLE,03/04/2020 09:00:00 PM,20-012739,VEHICLE THEFT - AUTO,34X,8400 HOLLY ST,Oakland,CA,"8400 HOLLY ST
Oakland, CA
(37.754809, -122.176052)"
,04/23/2020 02:00:00 PM,20-021709,TAMPER WITH VEHICLE,21X,2100 BLOCK OF 25TH AVE,Oakland,CA,"2100 BLOCK OF 25TH AVE
Oakland, CA
(37.786806, -122.228018)"
STOLEN VEHICLE,03/05/2020 04:58:00 PM,20-012728,VEHICLE THEFT - AUTO,25X,4200 MASTERSON ST,Oakland,CA,"4200 MASTERSON ST
Oakland, CA
(37.788786, -122.195013)"
,04/27/2020 05:00:00 PM,20-021843,THEFT,33X,900 83RD AVE,Oakland,CA,"900 83RD AVE
Oakland, CA
(37.749514, -122.188958)"
PETTY THEFT,04/01/2020 04:30:00 PM,20-907979,THEFT,15X,2200 PARK BLVD,Oakland,CA,"2200 PARK BLVD
Oakland, CA
(37.8012, -122.246868)"
BURG - AUTO,04/15/2020 05:00:00 PM,20-908658,BURGLARY-AUTO,77X,BROADWAY TERRACE,Oakland,CA,"BROADWAY TERRACE
Oakland, CA"
BURG - AUTO,01/24/2020 08:31:00 PM,20-906705,BURGLARY-AUTO,28X,4400 VIRGINIA AV,Oakland,CA,"4400 VIRGINIA AV
Oakland, CA
(37.783455, -122.198863)"
,03/13/2020 08:43:00 PM,20-014328,BATTERY,31Z,100 CATRON DR,Oakland,CA,"100 CATRON DR
Oakland, CA
(37.725666, -122.176435)"
STOLEN VEHICLE,03/05/2020 12:00:00 PM,20-012871,VEHICLE THEFT - AUTO,15X,CLEVELAND AV & HADDON RD,Oakland,CA,"CLEVELAND AV & HADDON RD
Oakland, CA
(37.805126, -122.246068)"
MISDEMEANOR ASSAULT,03/07/2020 11:40:00 AM,20-013034,BATTERY,26X,4300 SAN LEANDRO ST,Oakland,CA,"4300 SAN LEANDRO ST
Oakland, CA
(37.770611, -122.217148)"
ROBBERY,03/10/2020 12:00:00 AM,20-018554,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",31Y,200 TUNIS RD,Oakland,CA,"200 TUNIS RD
Oakland, CA
(37.732744, -122.19478)"
BURG - AUTO,03/07/2020 01:00:00 AM,20-906797,BURGLARY-AUTO,25X,3800 HUNTINGTON ST,Oakland,CA,"3800 HUNTINGTON ST
Oakland, CA
(37.788084, -122.189259)"
BURG - RESIDENTIAL,02/18/2020 10:00:00 AM,20-012612,BURGLARY-NO FORCE,11X,600 58TH ST,Oakland,CA,"600 58TH ST
Oakland, CA
(37.843464, -122.2648)"
PETTY THEFT,10/11/2019 07:53:00 PM,19-053270,ATTEMPT THEFT,23X,1600 HIGH ST,Oakland,CA,"1600 HIGH ST
Oakland, CA
(37.773599, -122.213189)"
ROBBERY,03/27/2020 05:55:00 PM,20-016461,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",19X,1200 2ND AV,Oakland,CA,"1200 2ND AV
Oakland, CA
(37.797569, -122.256872)"
VANDALISM,03/03/2020 11:19:00 AM,20-906801,VANDALISM,04X,1700 FRANKLIN ST,Oakland,CA,"1700 FRANKLIN ST
Oakland, CA
(37.806175, -122.268505)"
FELONY ASSAULT,04/17/2020 12:30:00 PM,20-020199,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,02X,1100 10TH ST,Oakland,CA,"1100 10TH ST
Oakland, CA
(37.806388, -122.286105)"
,05/14/2020 12:57:00 PM,20-024102,VEHICLE THEFT - AUTO,10Y,IFO 879 58TH ST,Oakland,CA,"IFO 879 58TH ST
Oakland, CA"
STOLEN VEHICLE,04/22/2020 12:00:00 PM,20-020570,VEHICLE THEFT - AUTO,27Y,6500 ARTHUR ST,Oakland,CA,"6500 ARTHUR ST
Oakland, CA
(37.768626, -122.185378)"
STOLEN VEHICLE,02/26/2020 04:12:00 PM,20-011117,VEHICLE THEFT - AUTO,26Y,800 81ST AV,Oakland,CA,"800 81ST AV
Oakland, CA
(37.750269, -122.191379)"
GRAND THEFT,03/20/2020 11:15:00 AM,20-907525,MAIL/ETC THEFT/ETC,01X,200 3RD ST,Oakland,CA,"200 3RD ST
Oakland, CA
(37.794649, -122.270557)"
FELONY ASSAULT,03/06/2020 08:04:00 PM,20-012927,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,31Y,85TH AV & ENTERPRISE WY,Oakland,CA,"85TH AV & ENTERPRISE WY
Oakland, CA
(37.741841, -122.191952)"
STOLEN VEHICLE,03/06/2020 09:22:00 AM,20-012830,VEHICLE THEFT - AUTO,26X,700 KEVIN CT,Oakland,CA,"700 KEVIN CT
Oakland, CA
(37.758133, -122.207264)"
FORCIBLE RAPE,04/09/2020 02:00:00 PM,20-018463,ATTEMPTED RAPE,17Y,2200 14TH AV,Oakland,CA,"2200 14TH AV
Oakland, CA
(37.794444, -122.239034)"
DISORDERLY CONDUCT,03/07/2020 04:40:00 PM,20-013083,OFFENSIVE WORDS IN PUBLIC PLACE,22Y,4100 REDWOOD RD,Oakland,CA,"4100 REDWOOD RD
Oakland, CA
(37.79774, -122.183222)"
FELONY ASSAULT,03/06/2020 05:00:00 AM,20-012793,BURGLARY-AUTO,31Z,400 GRAMERCY PL,Oakland,CA,"400 GRAMERCY PL
Oakland, CA
(37.729663, -122.181268)"
VANDALISM,03/08/2020 08:00:00 AM,20-906780,VANDALISM,22Y,9800 SKYLINE BLVD,Oakland,CA,"9800 SKYLINE BLVD
Oakland, CA
(37.818527, -122.18256)"
MISDEMEANOR ASSAULT,04/11/2020 08:25:00 PM,20-908675,ASSAULT,30Y,8100 NEY AV,Oakland,CA,"8100 NEY AV
Oakland, CA
(37.764048, -122.164148)"
EMBEZZLEMENT,01/27/2020 12:09:00 PM,20-012997,EMBEZZLE LEASED/RENTED VEHICLE,03Y,1000 BROADWAY,Oakland,CA,"1000 BROADWAY
Oakland, CA
(37.801863, -122.272663)"
BURG - COMMERCIAL,03/06/2020 05:16:00 AM,20-012795,BURGLARY-FORCIBLE ENTRY,27X,4800 FOOTHILL BLVD,Oakland,CA,"4800 FOOTHILL BLVD
Oakland, CA
(37.772644, -122.207341)"
GRAND THEFT,03/25/2020 04:30:00 AM,20-907702,GRAND THEFT,25X,3800 LOMA VISTA AV,Oakland,CA,"3800 LOMA VISTA AV
Oakland, CA
(37.79404, -122.196699)"
BURG - COMMERCIAL,02/26/2020 02:13:00 AM,20-011070,BURGLARY-NO FORCE,04X,100 GRAND AV,Oakland,CA,"100 GRAND AV
Oakland, CA
(37.811432, -122.265382)"
,04/27/2020 06:00:00 PM,20-021400,THEFT,26Y,7500 RUDSDALE ST,Oakland,CA,"7500 RUDSDALE ST
Oakland, CA
(37.756911, -122.187862)"
,04/30/2020 09:37:00 AM,20-021731,POSS STOLEN VEH/VES/ETC,26X,500 BLK INDEPENDENT RD,Oakland,CA,"500 BLK INDEPENDENT RD
Oakland, CA
(37.755159, -122.208286)"
GRAND THEFT,06/10/2019 10:00:00 AM,20-907990,GRAND THEFT,25Y,5200 OLD REDWOOD RD,Oakland,CA,"5200 OLD REDWOOD RD
Oakland, CA
(37.796471, -122.173731)"
GRAND THEFT,04/03/2020 03:15:00 AM,20-908015,GRAND THEFT,16Y,3800 CANON AV,Oakland,CA,"3800 CANON AV
Oakland, CA
(37.802192, -122.217941)"
,04/27/2020 03:10:00 PM,20-021256,VEHICLE THEFT - AUTO,32Y,9800 THERMAL ST,Oakland,CA,"9800 THERMAL ST
Oakland, CA
(37.750252, -122.157845)"
OTHER,03/24/2020 06:30:00 AM,20-015937,THEFT,35X,2600 CHEROKEE AV,Oakland,CA,"2600 CHEROKEE AV
Oakland, CA
(37.75171, -122.15619)"
RECOVERED O/S STOLEN,04/29/2020 12:40:00 PM,20-021606,VEHICLE THEFT - AUTO,27X,FOOTHILL BLVD & HIGH ST,Oakland,CA,"FOOTHILL BLVD & HIGH ST
Oakland, CA
(37.774673, -122.211777)"
VANDALISM,03/07/2020 09:50:00 AM,20-906804,VANDALISM,19X,1400 5TH AV,Oakland,CA,"1400 5TH AV
Oakland, CA
(37.803813, -122.294086)"
GRAND THEFT,04/15/2020 10:20:00 AM,20-908670,THEFT,14Y,600 VERNON ST,Oakland,CA,"600 VERNON ST
Oakland, CA
(37.818886, -122.24957)"
RECOVERED O/S STOLEN,02/23/2020 09:16:00 AM,20-010450,VEHICLE THEFT - AUTO,31Y,9500 CORAL RD,Oakland,CA,"9500 CORAL RD
Oakland, CA
(37.733935, -122.191328)"
WEAPONS,04/22/2020 04:42:00 PM,20-020467,CARRY LOADED FIREARM:UNLAWFUL/PROHIBATED POSSESSION,25X,GREEN ACRE RD & MACARTHUR BLVD,Oakland,CA,"GREEN ACRE RD & MACARTHUR BLVD
Oakland, CA
(37.785529, -122.192085)"
KIDNAPPING,04/23/2020 12:20:00 AM,20-020527,KIDNAPPING,20X,2600 E 12TH ST,Oakland,CA,"2600 E 12TH ST
Oakland, CA
(37.780024, -122.232752)"
FELONY ASSAULT,04/19/2020 12:20:00 PM,20-020298,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,32X,1300 100TH AV,Oakland,CA,"1300 100TH AV
Oakland, CA
(37.74174, -122.17077)"
STOLEN VEHICLE,02/24/2020 08:00:00 AM,20-011047,VEHICLE THEFT - AUTO,22X,3700 FRUITVALE AV,Oakland,CA,"3700 FRUITVALE AV
Oakland, CA
(37.802796, -122.215165)"
VANDALISM,03/06/2020 07:00:00 AM,20-012888,VANDALISM,77X,COVINGTON DR,Oakland,CA,"COVINGTON DR
Oakland, CA"
,05/14/2020 07:25:00 PM,20-024132,BATTERY,08X,200 30TH ST,Oakland,CA,"200 30TH ST
Oakland, CA
(37.818388, -122.260519)"
BURG - AUTO,03/14/2020 01:00:00 AM,20-907114,BURGLARY-AUTO,17X,1100 E 19TH ST,Oakland,CA,"1100 E 19TH ST
Oakland, CA
(37.79467, -122.244185)"
DISORDERLY CONDUCT,02/23/2020 06:30:00 PM,20-010541,DISTURB THE PEACE,29X,6100 FOOTHILL BLVD,Oakland,CA,"6100 FOOTHILL BLVD
Oakland, CA
(37.771178, -122.187544)"
BURG - AUTO,04/24/2020 01:00:00 AM,20-909301,BURGLARY-AUTO,12Y,5800 ROSS ST,Oakland,CA,"5800 ROSS ST
Oakland, CA
(37.848418, -122.246057)"
BURG - AUTO,03/09/2020 12:30:00 AM,20-906858,BURGLARY-AUTO,21Y,2200 COOLIDGE AV,Oakland,CA,"2200 COOLIDGE AV
Oakland, CA
(37.784323, -122.220477)"
FELONY ASSAULT,04/23/2020 06:30:00 PM,20-020246,RELEASED FROM CUSTODY ON BAIL OR ON HIS OR HER OWN RECOGNIZANCE PRIOR TO THE JUDGMENT BECOMING FINAL,24Y,PORTER ST & MAYBELLE WY,Oakland,CA,"PORTER ST & MAYBELLE WY
Oakland, CA
(37.787272, -122.198344)"
MISDEMEANOR ASSAULT,03/07/2020 02:45:00 AM,20-012968,THREAT CRIME:INT:TERRORIZE,03Y,400 9TH ST,Oakland,CA,"400 9TH ST
Oakland, CA
(37.800422, -122.272102)"
DISORDERLY CONDUCT,03/27/2020 11:59:00 AM,20-907774,ANNOYING TELEPHONE CALL:OBSCENE/THREATENING,14X,400 BELLEVUE AV,Oakland,CA,"400 BELLEVUE AV
Oakland, CA
(37.810562, -122.252517)"
BURG - AUTO,03/27/2020 08:00:00 PM,20-907773,BURGLARY-AUTO,33X,900 85TH AV,Oakland,CA,"900 85TH AV
Oakland, CA
(37.749402, -122.18546)"
STOLEN VEHICLE,03/14/2020 08:30:00 AM,20-014413,VEHICLE THEFT - AUTO,30X,7100 FAVOR ST,Oakland,CA,"7100 FAVOR ST
Oakland, CA
(37.762572, -122.184937)"
BURG - AUTO,03/07/2020 08:00:00 PM,20-906842,BURGLARY-AUTO,77X,00,Oakland,CA,"00
Oakland, CA
(38.678582, -121.229952)"
DOMESTIC VIOLENCE,04/15/2020 06:30:00 PM,20-019404,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,30Y,2600 RITCHIE ST,Oakland,CA,"2600 RITCHIE ST
Oakland, CA
(37.7625, -122.171027)"
FRAUD,03/04/2008 11:50:00 AM,20-906600,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,11X,5600 SHATTUCK AV,Oakland,CA,"5600 SHATTUCK AV
Oakland, CA
(37.841319, -122.264638)"
BURG - AUTO,03/06/2020 04:45:00 PM,20-906802,BURGLARY-AUTO,04X,1800 JEFFERSON ST,Oakland,CA,"1800 JEFFERSON ST
Oakland, CA
(37.808197, -122.273246)"
THREATS,04/03/2020 04:10:00 PM,20-017575,SHOPLIFTING-COMMERCIAL ESTABLISHMENT WITH INTENT WHERE VALUE DOES NOT EXCEED $950,14X,2300 HARRISON ST,Oakland,CA,"2300 HARRISON ST
Oakland, CA
(37.811434, -122.262063)"
,05/07/2020 02:52:00 AM,20-022869,VANDALISM,19X,600 FOOTHILL BLVD,Oakland,CA,"600 FOOTHILL BLVD
Oakland, CA
(37.796342, -122.251175)"
MISDEMEANOR ASSAULT,03/29/2020 12:59:00 PM,20-016717,VIOLATION OF PROBATION-MISD,15X,200 E 18TH ST,Oakland,CA,"200 E 18TH ST
Oakland, CA
(37.800222, -122.253307)"
BURG - AUTO,03/07/2020 02:20:00 AM,20-906817,BURGLARY-AUTO,04X,JACKSON ST & 19TH ST,Oakland,CA,"JACKSON ST & 19TH ST
Oakland, CA
(37.805446, -122.263083)"
FRAUD,08/07/2017 12:10:00 AM,20-906694,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,04X,1400 MADISON ST,Oakland,CA,"1400 MADISON ST
Oakland, CA
(37.801507, -122.264074)"
THREATS,03/29/2020 04:10:00 AM,20-016666,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,19X,700 E 11TH ST,Oakland,CA,"700 E 11TH ST
Oakland, CA
(37.792969, -122.254091)"
STOLEN VEHICLE,04/02/2020 04:00:00 AM,20-907929,ATTEMPT VEHICLE THEFT-AUTO,27X,BOND ST & HIGH ST,Oakland,CA,"BOND ST & HIGH ST
Oakland, CA
(37.774119, -122.212507)"
BURG - AUTO,03/06/2020 06:00:00 PM,20-906792,BURGLARY-AUTO,12X,4700 TELEGRAPH AV,Oakland,CA,"4700 TELEGRAPH AV
Oakland, CA
(37.834351, -122.263049)"
